sample,lake.area.km2,wind.ms,wind.height.ms,zmix.m,h2o.temp.c,do.pct.sat,o2.g.m3,delo18.h2o,delo18.o2
L008,0.035380493,3.37398374,3,2.1,16.49,92.3,8.66,-12.52,
L009,0.192405101,3.37398374,0,3,16.81,102.63,9.58,-8.27,
L010,0.028463544,3.37398374,13,3,17.59,101.21,9.27,-8.28,
L011,1.245083371,3.170731707,4,3.5,18.6,108.71,9.77,-12.74,
L012,11.83681909,3.170731707,17,3.1,19.13,90.69,8.09,-11.97,
L013,0.725975264,3.170731707,1,3,19.87,101.87,8.97,-8.66,
L014,1.06909352,3.355352304,6,1.7,20.17,136.86,11.96,-11.46,
L015,1.103547615,3.68902439,11,0.7,14.84,108.84,10.68,-10.62,
L016,87.9477754,3.68902439,7,2.7,14.31,110.32,10.95,-12.92,
L017,0.808070383,3.68902439,14,0.5,16.69,102.85,9.7,-10.64,
L018,38.08563019,3.619579946,16,7.1,14.37,98.2,9.75,-11.45,
L019,14.61675777,3.619579946,10,2.7,13.85,96.72,9.69,-9.65,
L020,1.447488829,3.619579946,17,6,15.5,100.66,9.72,-9.35,
L021,0.403599095,3.619579946,18,5,15.63,102.21,9.83,-9.34,
L022,5.71782928,3.594173442,15,0.7,13.09,96.64,9.77,-10.31,
L023,16.35143256,3.594173442,2,6,15.55,96.71,9.25,-10.6,
L024,0.447782954,3.594173442,3,1.9,16.76,99.39,9.27,-7.68,
L025,491.8058693,3.448509485,6,2.3,17.04,98.15,9.11,-11.88,
L026,2.717668341,3.678861789,15,5.8,14.24,95.56,9.54,-9.23,
L027,0.322999601,3.678861789,5,1.5,12.91,96.82,9.97,-12.1,
L028,0.643190046,3.678861789,13,1.2,13.66,110.98,11.24,-10.19,
L029,46.71097987,3.600948509,2,6.4,16.39,105.69,10.07,-12.55,
L030,7.768806259,3.600948509,8,3,17.71,95.92,8.9,-10.83,
L031,0.004122505,3.379065041,10,3.5,16.38,116.02,11.09,-8.51,
L032,0.020958492,3.379065041,9,4,16.93,108.11,10.21,-8.55,
L033,0.678822595,3.379065041,2,2.7,17.22,98.33,9.18,-12.94,
L034,0.012620486,3.379065041,11,2,15.09,109.56,10.7,-13.3,
L035,,,18,5,21.44,100.96,8.6,-9.54,
L036,,,20,5,21.77,101.67,8.59,-8.31,
L037,,,8,8,21.63,106.68,9.25,-10.81,
L038,,,12,2,21.48,103.95,8.8,-8.85,
L039,,,7,5,21.89,104.26,8.9,-10.5,
L040,46.71097987,2.884485095,10,5,23.31,99.42,8.24,-12.44,
L041,7.768806259,2.884485095,9,2.8,23.75,116.59,9.5,-10.58,
L042,0.678822595,2.588075881,1,2.4,22.44,85.67,7.19,-11.63,22.7
L043,0.092674195,2.588075881,3,1.6,21.63,105.41,8.89,-11.06,19.46
L044,0.235932111,2.588075881,6,,22.7,101.69,8.39,-12.02,24.6
L045,0.322999601,2.715108401,0,1.3,20.11,123.03,10.88,-10.46,23.27
L046,0.643190046,2.715108401,4,1.3,20.62,92.18,8.07,-7.83,23.1
L047,0.592658529,2.715108401,14,1.1,20.22,88.42,7.8,-7.75,24.09
L048,2.634152021,2.715108401,10,1.5,21.06,96.62,8.37,-7.94,23.61
L049,2.665472715,2.508468835,13,2,23.38,95.6,7.96,-10.1,22.23
L050,45.67833453,2.508468835,13,1.7,21.03,93.06,8.01,-10.49,24.72
L051,1.837721715,2.508468835,16,1.5,22.53,101.83,8.49,-10.93,21.59
L052,491.8058693,2.508468835,0,1.9,21.68,89.21,7.6,-10.67,22.32
