"","gppa.mean","gppa.sd","gpptor.mean","gpptor.sd","gppv.mean","gppv.sd","nepa.mean","nepa.sd","nepv.mean","nepv.sd","resa.mean","resa.sd","resv.mean","resv.sd"
"L008",3.10121095337418,2.60632191386795,0.0129808019762672,0.00677468878766623,1.47676712065437,1.24110567327045,-216.757831043259,60.4431157757169,-103.218014782504,28.7824360836747,219.859041996633,62.6535597136913,104.694781903159,29.8350284350911
"L009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L010",2.68907160803754,6.78980148901343,0.00806439346303121,0.00707949083340785,0.896357202679182,2.26326716300448,-266.904038433353,209.369141207426,-88.9680128111177,69.7897137358087,269.593110041391,215.852711471266,89.8643700137968,71.9509038237554
"L011",1.7910362288479,2.43645211448206,0.00428149519266064,0.00541468987397212,0.511724636813687,0.696129175566304,-354.11914156459,90.4365032740189,-101.176897589883,25.839000935434,355.910177793438,92.1686273011925,101.688622226697,26.3338935146264
"L012",3.77945743922889,2.72279431400553,0.0109848275721655,0.00613686017822366,1.21917981910609,0.878320746453396,-318.421989899919,76.3641320039254,-102.716770935458,24.6335909690082,322.201447339148,78.4121314640895,103.935950754564,25.2942359561579
"L013",3.3006226998409,5.10893217291771,0.00669707403463077,0.00613514901709177,1.10020756661363,1.70297739097257,-413.192134301346,296.796974740233,-137.730711433782,98.932324913411,416.492757001187,301.089256677177,138.830919000396,100.363085559059
"L014",-1.64147795348819,2.18167147328366,-0.00371720368192627,0.00428922257640064,-0.96557526675776,1.28333616075509,-510.855010805364,137.448595905685,-300.502947532567,80.8521152386384,509.213532851876,138.153208584408,299.537372265809,81.266593284946
"L015",2.315934270138,3.17421974585468,0.00552536255910138,0.00619428677843756,3.30847752876857,4.53459963693526,-346.354223088892,110.079333596104,-494.791747269846,157.256190851578,348.67015735903,112.632495437625,498.100224798614,160.903564910893
"L016",1.69817231852275,3.16046186439197,0.00314568426063598,0.00582171774177982,0.62895271056398,1.17054143125629,-431.957988411823,112.724763440328,-159.984440152527,41.7499123853066,433.656160730346,114.839075993606,160.613392863091,42.5329911087429
"L017",2.58919186066878,3.35844893332849,0.00661342422272241,0.00653527018848081,5.17838372133755,6.71689786665698,-331.524195598572,109.587776863334,-663.048391197143,219.175553726668,334.113387459241,112.29109582856,668.226774918481,224.58219165712
"L018",2.49696241180159,2.87218470678026,0.00655690710793813,0.00666430960706188,0.351684846732618,0.404533057292994,-334.589892609976,83.4589960007887,-47.1253369873205,11.7547881691252,337.086855021777,85.4547466877898,47.4770218340531,12.0358798151817
"L019",3.2545547229945,3.8914319540604,0.00828988560784165,0.0074303579446976,1.20539063814611,1.44127109409644,-335.980151855214,99.7725971899856,-124.437093279709,36.9528137740688,339.234706578209,102.899040137336,125.642483917855,38.1107556064209
"L020",2.55066969712201,3.22677122239893,0.00668038416210891,0.00686871326156336,0.425111616187002,0.537795203733155,-317.951248262553,99.4341291813586,-52.9918747104255,16.5723548635598,320.501917959675,102.038071223598,53.4169863266125,17.0063452039329
"L021",2.41963624421043,3.11826344327756,0.00685121368077732,0.00682353910620239,0.483927248842086,0.623652688655513,-295.193150659353,91.7587720871557,-59.0386301318706,18.3517544174311,297.612786903563,94.3636668710521,59.5225573807127,18.8727333742104
"L022",2.66673294732611,3.29378341300898,0.00786217426922882,0.00731963850252696,3.80961849618015,4.70540487572711,-291.242752974518,90.3358156785664,-416.061075677882,129.051165255095,293.909485921844,92.9584724404102,419.870694174063,132.797817772015
"L023",3.29242356278516,3.59420721573001,0.00745309223357866,0.00685600393059149,0.548737260464194,0.599034535955001,-386.709194481144,99.3394963462936,-64.4515324135239,16.5565827243823,390.001618043929,101.991822795219,65.0002696739881,16.9986371325364
"L024",24.2533578437705,663.481561033653,0.00749724570229006,0.00734222881584414,12.7649251809319,349.20082159666,-910.721051824079,17454.3181741426,-479.326869381094,9186.48324954874,934.974409667849,18117.7945170872,492.091794562026,9535.68132478272
"L025",2.99200931868665,3.63043777132448,0.00591695773307343,0.00624837526611424,1.30087361682028,1.57845120492369,-439.630116000727,107.873416922143,-191.143528695968,46.901485618323,442.622125319414,110.491566111227,192.444402312789,48.0398113527073
"L026",3.18015460300738,3.70085027665901,0.00888386269315747,0.00796101254495741,0.548302517759893,0.638077633906726,-305.016688863577,95.7833772247263,-52.5890842868237,16.5143753835735,308.196843466585,98.7867194037626,53.1373868045836,17.0321930006487
"L027",2.32306231008825,2.24698260943433,0.00858656644285903,0.00709572342019532,1.5487082067255,1.49798840628955,-240.922862981409,61.8041290841165,-160.615241987606,41.2027527227443,243.245925291497,63.4301249622629,162.163950194331,42.2867499748419
"L028",1.65356354032518,2.50062061935593,0.00434836694134291,0.00607954912278559,1.37796961693765,2.08385051612994,-317.216020707295,87.5810558767113,-264.346683922746,72.9842132305927,318.86958424762,89.3198981322898,265.724653539684,74.4332484435749
"L029",2.00328138414991,3.16028301647909,0.00366506919706938,0.00601472426112026,0.313012716273424,0.493794221324858,-451.12514504023,111.291297063497,-70.4883039125359,17.3892651661714,453.128426424379,113.31819754656,70.8013166288093,17.70596836665
"L030",3.23071109508812,3.12686125377503,0.00788723706009539,0.00641706219393039,1.07690369836271,1.04228708459168,-361.88615266921,88.8551858161994,-120.628717556403,29.6183952720665,365.116863764299,91.2404126831074,121.705621254766,30.4134708943691
"L031",1.00293930640227,2.83687676369803,0.00295310339642633,0.00605302207207637,0.286554087543506,0.810536218199439,-239.57030321236,152.560324550485,-68.4486580606742,43.5886641572814,240.573242518762,155.011855923126,68.7352121482177,44.2891016923218
"L032",1.92820980970284,2.50496129579026,0.00582363438070315,0.00645562141370019,0.482052452425709,0.626240323947565,-271.577116036003,92.6073567615853,-67.8942790090007,23.1518391903963,273.505325845706,94.5876829183748,68.3763314614264,23.6469207295937
"L033",2.46296835660287,2.39482416821256,0.00730485338909302,0.00611785701181696,0.912210502445507,0.886971914152801,-303.596795983003,70.5938542808899,-112.443257771482,26.1458719558851,306.059764339605,72.2772684712947,113.355468273928,26.7693586930721
"L034",1.25580991786056,1.45935448734082,0.00533147279096933,0.00553723192224919,0.627904958930282,0.729677243670411,-205.339414573516,53.2080329088102,-102.669707286758,26.6040164544051,206.595224491376,54.2356745549494,103.297612245688,27.1178372774747
"L035",2.24526911818204,2.82424814616756,0.00544821017002874,0.00594838494183018,0.449053823636408,0.564849629233511,-363.853825125098,437.845205012791,-72.7707650250197,87.5690410025582,366.09909424328,438.138936061522,73.2198188486561,87.6277872123043
"L036",3.22303764148263,29.6876027240906,0.00664405200414505,0.00631610263888611,0.644607528296526,5.93752054481812,-387.1495282628,1196.12523870242,-77.42990565256,239.225047740484,390.372565904283,1225.34997498436,78.0745131808565,245.069994996873
"L037",1.34875746172478,2.56259908438516,0.00290992900940408,0.00553871923323433,0.168594682715597,0.320324885548145,-363.122424339564,104.872676364668,-45.3903030424455,13.1090845455836,364.471181801289,106.51787344858,45.5588977251611,13.3147341810725
"L038",3.152357125856,3.74440709565615,0.00683963436573481,0.00588584001349919,1.576178562928,1.87220354782808,-392.612802526212,141.232009890762,-196.306401263106,70.6160049453808,395.765159652068,144.2184065718,197.882579826034,72.1092032858999
"L039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L040",3.69714912866104,3.38145690232833,0.00757514758550705,0.0053680861902307,0.739429825732207,0.676291380465666,-438.557422955765,123.411869754531,-87.711484591153,24.6823739509062,442.254572084426,125.867269842268,88.4509144168852,25.1734539684535
"L041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L042",3.62497740060975,2.85826473671235,0.011736804292262,0.00653179754197938,1.51040725025406,1.19094364029681,-281.432777622551,74.500135733933,-117.263657342729,31.0417232224721,285.05775502316,76.7933964926797,118.774064592984,31.9972485386166
"L043",4.04681423309776,22.9060918295053,0.0120332154998215,0.00538651289772756,2.5292588956861,14.3163073934408,-328.244184174645,862.693604406165,-205.152615109153,539.183502753853,332.290998407743,885.526069206901,207.681874004839,553.453793254313
"L044",0.00448357696593769,1.52332885637978,-0.000580595548530512,0.00536944489225276,0.00126618948487368,0.430197361304654,-258.670326802791,66.0561604623068,-73.0500781707966,18.6546626552688,258.674810379757,66.7606624754146,73.0513443602815,18.8536183212128
"L045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L046",3.34122040538013,4.63205992276872,0.00906667604001728,0.00729238980314235,2.5701695426001,3.5631230175144,-309.387700289543,136.198525031074,-237.990538684264,104.768096177749,312.728920694923,140.371557322631,240.560708226864,107.978121017408
"L047",2.08425842129608,2.59395943281747,0.00713802512139647,0.00749557862141036,1.89478038299644,2.35814493892497,-245.25946952065,70.3373018300923,-222.963154109681,63.9430016637203,247.343727941946,72.3857139895246,224.857934492678,65.8051945359315
"L048",1.91053511660422,3.28831258846392,0.00464034397121894,0.00685143708372588,1.27369007773615,2.19220839230928,-323.196563838503,102.30378214037,-215.464375892335,68.2025214269134,325.107098955107,104.97971684158,216.738065970071,69.9864778943866
"L049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L050",0.928820385793354,2.40938447692338,0.00215618130789495,0.00649927634792377,0.54636493281962,1.41728498642552,-301.80463524496,83.8769861283244,-177.532138379388,49.3394036048967,302.733455630753,85.4688841563187,178.078503312208,50.2758142095992
"L051",2.87861223618748,2.83843173454909,0.00743559240407509,0.00544754166532827,1.91907482412499,1.89228782303272,-342.046380380047,108.414190657957,-228.030920253365,72.2761271053049,344.924992616234,110.70890920242,229.94999507749,73.8059394682799
"L052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,Inf,NA
